SCHL_ID,CASEID,STU_WT,age,Q1,exercise,pcgame,tv,fastfood,bmi,a,b,c,d,e,f,g,h,green_have,male
10402,9184,4390.95,12,2,3,1,6,4,-9,5,3,3,5,5,5,4,5,0,0
10402,9201,2099.46,14,2,4,1,4,4,31.24,4,5,5,-9,5,5,5,5,0,0
10402,10244,2099.46,13,1,4,2,2,2,19.72,5,5,5,5,5,5,5,5,0,1
10402,10337,2243.07,12,1,4,2,6,5,16.12,5,5,5,5,5,5,5,5,0,1
10402,10396,2099.46,14,1,2,3,4,5,15.78,1,1,1,1,1,1,1,1,0,1
10402,10948,4390.95,13,2,4,2,4,4,21.44,4,4,3,-9,3,5,5,5,0,0
10402,11673,2243.07,13,2,3,2,3,3,15.55,3,5,5,5,5,5,5,5,0,0
10402,11697,2243.07,13,1,3,3,2,5,22.91,3,5,3,5,5,4,2,5,0,1
10402,11895,2099.46,13,1,2,6,3,2,22.25,-9,-9,-9,-9,-9,3,-9,-9,0,1
10402,11958,2099.46,15,2,1,1,2,2,-9,5,4,5,5,5,1,2,5,0,0
10402,12097,2243.07,12,2,3,3,5,5,-9,4,5,5,5,5,4,5,5,0,0
10501,279,429.64,12,2,5,3,3,2,19.8,4,4,4,5,3,5,5,5,0,0
10501,555,402.14,14,2,3,2,2,3,19.18,2,4,5,5,4,5,3,5,0,0
10501,707,589.36,12,2,6,1,2,7,16.78,5,5,5,5,2,5,1,5,0,0
10501,1184,402.14,13,2,4,2,2,2,19.33,5,5,4,5,5,4,5,5,0,0
10501,1470,402.14,13,2,4,2,2,4,17.72,2,2,4,3,4,1,1,2,0,0
10501,1501,402.14,13,1,6,2,3,1,18.8,5,5,5,2,5,4,5,5,0,1
10501,1549,429.64,12,1,6,3,3,4,22.37,4,4,4,4,4,4,4,3,0,1
10501,1840,402.14,13,1,4,3,4,2,17.81,5,4,5,5,5,5,4,3,0,1
10501,1976,429.64,12,2,3,1,2,2,17.19,2,2,4,1,1,1,5,1,0,0
10501,2066,402.14,13,1,6,3,3,6,15.32,3,5,5,5,5,5,5,5,0,1
10501,2389,429.64,13,2,4,1,-9,2,14.17,-9,-9,-9,-9,-9,-9,-9,-9,0,0
10501,2772,402.14,13,1,4,2,3,2,26.7,3,4,4,3,4,3,5,5,0,1
10501,3053,402.14,13,2,2,6,3,4,16.44,1,2,3,1,4,1,1,1,0,0
10501,3198,402.14,13,2,4,1,3,3,15.59,3,3,2,4,5,2,3,4,0,0
10501,5113,402.14,13,2,2,1,2,2,17.97,5,5,5,5,5,4,5,5,0,0
10501,5257,429.64,13,1,3,2,-9,1,24.64,5,-9,5,5,4,5,5,5,0,1
10501,5592,402.14,14,1,4,3,2,1,17.77,2,4,4,5,4,3,2,5,0,1
10501,6404,402.14,13,1,2,1,3,2,26.46,1,5,5,2,5,5,5,1,0,1
10501,6480,429.64,12,1,3,2,2,4,15.64,2,4,3,4,3,1,5,4,0,1
10501,6820,429.64,12,1,5,5,7,4,17.63,4,3,5,5,4,5,5,5,0,1
10501,7222,402.14,14,1,4,3,2,2,19.18,3,5,3,-9,4,5,3,3,0,1
10501,7273,402.14,13,2,3,2,2,2,20.16,5,2,3,3,5,2,5,5,0,0
10501,8235,429.64,12,2,6,1,3,2,15.52,5,5,4,4,5,3,4,5,0,0
10501,8678,429.64,13,1,2,2,3,1,18.07,4,5,5,5,4,4,2,4,0,1
10501,8917,446.21,13,2,3,4,3,3,21.9,3,3,3,5,5,3,5,5,0,0
10501,8934,429.64,12,2,5,1,2,1,18.21,4,5,5,5,5,2,5,5,0,0
10501,8944,429.64,12,1,2,2,2,3,24.31,5,5,1,4,4,5,3,5,0,1
10501,9263,429.64,12,1,3,7,7,1,28.99,3,3,2,2,2,2,5,5,0,1
10501,9350,402.14,14,1,3,2,2,1,17.23,4,4,5,4,4,4,5,5,0,1
10501,9723,429.64,12,2,4,3,4,2,18.25,2,1,4,3,3,1,3,4,0,0
10501,10294,402.14,13,1,2,2,3,2,17.7,4,5,5,5,5,5,5,5,0,1
10501,10868,429.64,12,1,-9,2,3,1,15.88,5,5,5,4,3,4,5,5,0,1
10501,10883,429.64,12,2,2,2,3,4,20.13,5,5,-9,3,3,1,1,1,0,0
10501,10937,402.14,13,2,3,2,2,3,19.59,5,5,5,3,3,3,5,4,0,0
10501,11070,429.64,12,2,3,5,3,3,17.7,4,4,4,5,5,4,5,5,0,0
10501,11415,429.64,13,2,3,4,5,5,23.86,5,5,5,5,5,4,5,5,0,0
10501,11435,429.64,13,2,5,2,2,3,18.56,3,3,3,2,4,3,3,3,0,0
10501,12017,429.64,12,2,4,2,2,1,24.65,5,5,5,5,5,5,5,5,0,0
10501,12619,429.64,12,2,3,2,2,1,19.8,4,4,5,4,3,4,5,5,0,0
10601,285,3585.57,14,1,4,3,4,2,19.33,4,5,5,5,5,5,5,5,0,1
10601,371,491.82,14,1,2,-9,-9,4,27.4,5,5,5,5,4,4,4,5,0,1
10601,1135,3585.57,14,2,5,1,2,3,17.98,4,4,2,2,4,5,3,4,0,0
10601,1474,3585.57,14,2,2,1,3,2,21.92,2,4,1,1,1,1,1,2,0,0
10601,1504,491.82,14,1,5,3,5,3,20.56,2,2,5,4,4,4,2,5,0,1
10601,1558,3585.57,14,2,2,1,4,4,19.55,4,4,4,4,4,4,3,4,0,0
10601,1738,5636.96,15,2,5,1,4,1,24.51,2,4,2,3,3,2,5,4,0,0
10601,2120,491.82,14,2,3,1,3,1,26,3,5,3,5,5,5,5,5,0,0
10601,2602,3585.57,15,1,4,2,4,6,19.3,3,4,5,5,4,5,3,5,0,1
10601,3567,3585.57,14,2,3,1,4,4,33.21,3,5,3,2,2,3,3,4,0,0
10601,3571,3585.57,14,2,4,2,2,3,27.04,4,3,5,5,4,4,5,3,0,0
